,pro name 
0,₹899
1,"₹2,300"
2,₹709
3,"₹2,100"
4,₹669
5,"₹2,100"
6,₹309
7,₹319
8,₹615
9,"₹2,999"
10,₹495
11,"₹1,199"
12,"₹2,899"
13,₹598
14,"₹1,199"
15,₹568
16,"₹1,799"
17,₹789
18,"₹1,799"
19,₹512
20,"₹1,499"
21,₹899
22,"₹4,000"
23,₹999
24,₹349
25,₹499
26,"₹1,299"
27,"₹1,499"
28,₹639
29,"₹1,199"
30,₹284.05
31,₹379.05
32,₹459
33,"₹1,099"
34,₹699
35,"₹1,999"
36,₹459
37,"₹1,099"
38,"₹1,089"
39,"₹1,999"
40,"₹1,285"
41,"₹3,079"
42,₹499
43,₹999
44,₹449
45,₹999
46,₹399
47,"₹1,299"
48,₹399
49,₹999
50,₹379
51,₹750
52,"₹1,889"
53,"₹2,499"
54,₹279
55,₹999
56,₹329
57,₹999
58,₹509
59,₹589
60,"₹1,799"
61,₹598
62,"₹1,199"
63,₹305
64,"₹1,199"
65,"₹1,090"
66,"₹2,580"
67,"₹2,672"
68,"₹12,999"
