,pro rating 
0,4.1 out of 5 stars
1,3.8 out of 5 stars
2,4.1 out of 5 stars
3,3.8 out of 5 stars
4,3.9 out of 5 stars
5,4.2 out of 5 stars
6,4.0 out of 5 stars
7,4.0 out of 5 stars
8,4.0 out of 5 stars
9,4.1 out of 5 stars
10,4.1 out of 5 stars
11,4.1 out of 5 stars
12,4.0 out of 5 stars
13,4.0 out of 5 stars
14,4.0 out of 5 stars
15,4.0 out of 5 stars
16,4.1 out of 5 stars
17,4.1 out of 5 stars
18,3.8 out of 5 stars
19,4.1 out of 5 stars
20,3.8 out of 5 stars
21,3.9 out of 5 stars
22,4.2 out of 5 stars
23,4.0 out of 5 stars
24,4.0 out of 5 stars
25,4.0 out of 5 stars
26,4.1 out of 5 stars
27,4.1 out of 5 stars
28,4.1 out of 5 stars
29,4.0 out of 5 stars
30,4.0 out of 5 stars
31,4.0 out of 5 stars
32,4.0 out of 5 stars
33,4.1 out of 5 stars
34,4.1 out of 5 stars
35,3.8 out of 5 stars
36,4.1 out of 5 stars
37,3.8 out of 5 stars
38,3.9 out of 5 stars
39,4.2 out of 5 stars
40,4.0 out of 5 stars
41,4.0 out of 5 stars
42,4.0 out of 5 stars
43,4.1 out of 5 stars
44,4.1 out of 5 stars
45,4.1 out of 5 stars
46,4.0 out of 5 stars
47,4.0 out of 5 stars
48,4.0 out of 5 stars
49,4.0 out of 5 stars
50,4.1 out of 5 stars
51,4.1 out of 5 stars
52,3.8 out of 5 stars
53,4.1 out of 5 stars
54,3.8 out of 5 stars
55,3.9 out of 5 stars
56,4.2 out of 5 stars
57,4.0 out of 5 stars
58,4.0 out of 5 stars
59,4.0 out of 5 stars
60,4.1 out of 5 stars
61,4.1 out of 5 stars
62,4.1 out of 5 stars
63,4.0 out of 5 stars
64,4.0 out of 5 stars
65,4.0 out of 5 stars
66,4.0 out of 5 stars
67,4.1 out of 5 stars
68,4.1 out of 5 stars
69,3.8 out of 5 stars
70,4.1 out of 5 stars
71,3.8 out of 5 stars
72,3.9 out of 5 stars
73,4.2 out of 5 stars
74,4.0 out of 5 stars
75,4.0 out of 5 stars
76,4.0 out of 5 stars
77,4.1 out of 5 stars
78,4.1 out of 5 stars
79,4.1 out of 5 stars
80,4.0 out of 5 stars
81,4.0 out of 5 stars
82,4.0 out of 5 stars
83,4.0 out of 5 stars
84,4.1 out of 5 stars
